text	labels	predictions
da fucc gone believ sell brick wit dirti ass kick nicca u aint sellin shit	OFF	OFF
rt doprettyshiz bitch blew high  high drug 	OFF	NOT
heavensway  last time ill ever call faggot	OFF	OFF
rt netanyahu pm last night incit translat murder father travel whis famili celebr first 	OFF	NOT
rt versacetweetgod gave bitch much confid  	OFF	NOT
justwordsx dont favorit faggot	OFF	OFF
bold peopl confront seem make bitch alot	OFF	NOT
 funni ofay mammi woulda happi made friend wit da folk dat brought us da new world chain	OFF	NOT
hate kiss mouth hoetel differ	OFF	OFF
themayormatt pitch chip slide ur dick tight clam  love mywif	OFF	OFF
sean kingston look like facebook dyke 	OFF	OFF
bigdaddysnip far asf nigguh	OFF	NOT
likewhatyousea booti wop side hell	OFF	NOT
portlandia putabirdonit rt  xbox one would much cooler put bird	NOT	NOT
got vector job bitch	OFF	NOT
ladylovesh marri still wanna bang hersh wont sex mewhat bitch troubadour probabl	OFF	OFF
rt xpoppinwhe lol thirst real dis bitch 	OFF	NOT
got everi niggah lookin like dam	OFF	NOT
wassupbeama lol bitch nigga ima get gay homi	OFF	OFF
allergi eye red chink eye look like im stone	OFF	NOT
black bitch boister belliger buffalo 	OFF	OFF
rt qwestsidefoolay  woah bitch say   	OFF	NOT
true life episod come later tonight  central time true life wanna tranni	OFF	OFF
ovoshubham fuck bitch bout u get bitch ass nigga stupid ass	OFF	OFF
rt  vonteeeee typic coon activ	OFF	OFF
im jog higher stupid bitch ass hoe mf  	OFF	OFF
flyyimpact yo follow back nigguh	OFF	NOT
scott told work today want come get drunk seduc  ill kill bitch 	OFF	NOT
 pussi  imma assum babi liketh day	OFF	OFF
shadi bitch talk guy w girlfriend that disrespect anoth girl	OFF	NOT
wow fucken bradley suck ass coach said niggah play barcelona hahahahahaha	OFF	NOT
make sweet love hand caus cant buy hoe tonight	OFF	NOT
rt chlldhoodruin great daquan got pregnant im gonna nigger grandbabi 	OFF	OFF
rt  bitch soccer player take shirt 	OFF	NOT
look coon ass nigga stand damn toilet look around  	OFF	OFF
 wonder run nose first yo real nigger amp white devil massah man point anoth convinc u less	OFF	OFF
 realli miss know drink talk problem like basic bitch	OFF	NOT
ocean drive  gave pill think justmoodi met pussi ocean 	OFF	OFF
np centuri fob	NOT	OFF
bombfantasyyi pearl jam yellow ledbettergt	NOT	NOT
one man trash anoth man wife	NOT	NOT
peopl rt pictur far wide reason make teabagg poor spell realli angri 	NOT	OFF
rt treysongzson im yo hood ill prolli fuck yo hoe	OFF	NOT
rt gatordwqam everytim see nelson agholor make play want puke kid shouldv gator thank charli cheeseburg	NOT	OFF
bitch rais anxieti sit next	OFF	NOT
karma theeeee biggest bitch	OFF	NOT
bitch filthi 	OFF	NOT
bellaangeletti ur fag	OFF	OFF
escort mission game univers trash	NOT	NOT
sroach happi birthday nicca coon shit respons way	OFF	OFF
rt  ericmarin whiteponyjr  faggot lil attent whore fuck mute	OFF	OFF
rt shantybear bitch entertain caus alway seem busi	OFF	NOT
love charli 	NOT	NOT
drippin much damn sauc got bitch readi lick 	OFF	NOT
ronni kamm pussi	OFF	OFF
rt nobeynob markiemarc  trash	NOT	NOT
love bad bitch that fuckin problem	OFF	NOT
rt  farewel tour fault everyon three player underachiev yanke year	NOT	NOT
rt yograndmabitch crush bitch man tri show could treat better never luck	OFF	OFF
 nigguh suck	OFF	OFF
jasonjwild  incomplet slant look like better option shame  youth amp lack trust go	NOT	NOT
rt lrihendri pregnant se  classic respons   call   bonus tweet  	NOT	NOT
rt lexieel timelin right nowraven    commerci tweet     bitch talkin 	OFF	NOT
rt truenovacan think sliden bitch slippen amp know truth knoww knoww knoww know knoww knoww 	OFF	NOT
let go block phase caus hoe steadi come 	OFF	OFF
thatkidvicent thank littl bitch 	OFF	NOT
chill zahra im get cracker rn	OFF	NOT
u wonder im answer im wonder money nigga act like bitch day	OFF	NOT
yes im hairi white man redneck tendenc absolut love aretha franklin fuck hater	OFF	OFF
rt myniggakushi  myniggakushi sleepov come  bitch silk 	OFF	NOT
listen latina women talk babi daddi andbeat bitch ass make sub  worth ita littl bit	OFF	OFF
sbsylvest cblaze bitch meet plano senior high school vine got shit chest go take yall	OFF	NOT
 hahahaha aw nut tri captur cunt	OFF	OFF
 fosho niggah il real busi late	OFF	NOT
rt causewereguy sex  date dont mean hoe wait  day wont make wife cute pic dont mean happi amp 	OFF	NOT
put pan browni	NOT	NOT
cbsthismorn charlieros norahodonnel tx trash show disgrac engag w mittromney disrespect presid	NOT	OFF
rt funnypicsdepot bitch like im virgin 	OFF	NOT
tri take othot drug bitch im 	OFF	NOT
rt hoesscreamtessa lot bankrol  amp hoe 	OFF	NOT
welp  babi cookedba what dinnerm bitch text 	OFF	NOT
rt versecharact nigga want bitch like trey  	OFF	NOT
love dont wanna nobodi els blah blah bullshit fa bird	OFF	NOT
crust  graham cracker keep pie	NOT	OFF
gduenez ur one talk bitch	OFF	NOT
 reason hit know pussi wont get cool point	OFF	OFF
motherjon  bird grandkid may never see thank climat chang   climat	NOT	OFF
rt kylekallgren know superhero stori best insult superhero dumb mook come dogood whiteknight	NOT	OFF
tell  lookin ass nigga  ima crazi bitch that need know	OFF	NOT
rt jkwest dnt trust bitch think shud b bad girl club	OFF	NOT
rt blackelvi favorit episod friend one black mysteri vanish unemploy white peopl find afford 	NOT	NOT
true rt mrquenchyagirl charli clip coldest battl rapper debat	NOT	NOT
one your annoy two damn hoe three aint thing must go	OFF	OFF
rt witnesslaron ape get mcm cant unbeliev 	NOT	NOT
chees bitch chupacabra look fuxk 	OFF	OFF
 next time see bitch im beat ass job  lol	OFF	OFF
bitch better happi  tip	OFF	NOT
rt fleebiscuit girl anchor tat hoe	OFF	NOT
  lol els common nigga hate sleep  summer bird	OFF	NOT
rt spam bitch ass nigga rt hellondascal migo 	OFF	OFF
heartll kaleighmcnasti bitch look like gon blow away fr	OFF	NOT
kimberlyyay leslieeeixta think job toodl bitch 	OFF	NOT
got chunki marmalad today great custom servic past  yrs postietweet servicematt 	NOT	NOT
rt alfanolisa  mariachappellen gee isnt cracker racist term tire race baiter	OFF	OFF
rt cuhcuhcuh bitch smoke cig disgust cuh	OFF	NOT
 bitch im bitch im  thug luuuuuuv	OFF	NOT
rt tomtomorrow report aerosol virus turn ape intellig seem like kind day	NOT	NOT
rt hlghkey ya girl text back slow gotta hit els text watch bitch get defens 	OFF	NOT
aint suck dick sit pucker lip that collagen muhfuckin bitch	OFF	OFF
rt  nigga like one pic amp u bitch  show love bitch kill yoself	OFF	NOT
ever beat wayn chief bitch banger chiefkeef freewop freeslick	OFF	NOT
hate dumb bitch	OFF	OFF
rt killahka bitch  	OFF	NOT
feel like slap bitch	OFF	NOT
like nike bitch	OFF	NOT
smoke sum bitch	OFF	NOT
rate id cheer aw new york yanke st loui cardin	NOT	NOT
 min bitch drop	OFF	NOT
fat ass hoe hold machin	OFF	OFF
id go jamaica n attend wild dancehal event jus five star frog splash bitch tree n get wshh	OFF	NOT
aasthaxoxo oh shut mouth talkin morn fag	OFF	OFF
two road diverg yellow wood chose one  robert frost giant	NOT	NOT
rt brooksbeau follow spree cunt retweet followmebeau	OFF	OFF
linniekravitz wesgodlaflar bitch wtf 	OFF	NOT
 ugli white bitch	OFF	OFF
 geta life faggot	OFF	OFF
cuteasstab niggah shit serious aint one laugh	OFF	NOT
rt lissetelisa juan like black girl monday  wednesday spanish girl thursday amp friday amp white bitch weekend tbb	OFF	NOT
da club makin movi feel like tyler perri fuckin nigga bitchesdey like didi gt marri	OFF	OFF
ive got best friend function retard could	OFF	OFF
like said fuck lebron fan base bandwagon dick rider amp loyal ass eater dont like bitch nigga amp love one	OFF	OFF
yanke firecashman dont want arod back	NOT	NOT
kevinkevmooney lellerb bet make sure bitch involv that  thing floyd pac agre screw em	OFF	OFF
rt  obama allow million illeg alien drug cartel terrorist enter open bordersliber 	OFF	OFF
 ur pal stlabubadu  apost kufargti cld cut ur neck wsword islam ampwatch u squeal like bitch like daniel pearl	OFF	OFF
rt anunnakigod bitch ocean 	OFF	NOT
 string bitch	OFF	NOT
rt louievre nigga santa come hood nigga gonna rob sleigh ho ho hoe	OFF	OFF
bnightengal feinsandnydn time ranger scout head watch yanke prospect ranger	NOT	NOT
rt nekkohbk bitch u boutta drown tryna hoe   twitpic bra selfi show  	OFF	NOT
good morn charli  jrstws qnoftherealm savvyhuman scdorn  plainunamerican erickinnc puterprsn tomwfri	NOT	NOT
push bitch car like im gucci mane bitch 	OFF	NOT
aint nobodi wear new westbrook jordan mexican amp trailer park trash white girl	OFF	NOT
rt noreggieallow think hoe  would tell alll shit  im lazi tryna switch shit  	OFF	NOT
nyrkelsmad im bulli halfretard talk flotat devic  assur im bulli	OFF	NOT
rt charlesbwaffl bitch internet relationship tho like yous lone hoe	OFF	NOT
find cheap  craigslist need new tranni 	NOT	OFF
alex smith saw career leav fumbl reel bitch back everyth	OFF	OFF
 maaaaannnn hope rt  vonshayeb get rid john legend look charli batch	NOT	NOT
appar amp eric fucc amp fucc everi nigga  great yall bitch whoppin amp talkin behind blocc twitter	OFF	OFF
wiz khalifa influenti rapper era seem forget trend nigguh start	OFF	NOT
yall bitch girlfriend halloween sinc yall sidechicc year 	OFF	OFF
rt  fuck bitch   feel	OFF	NOT
shut yo new year new lookin ass bitch 	OFF	OFF
nigga stay insid hoe shit	OFF	NOT
rt leezythewarrior cant let messi hoe mess yo busi	OFF	NOT
rt kingtunchi bitch diss gone still eat dick see check	OFF	OFF
rt almightyalijah told yo bitch get knee dont want 	OFF	NOT
hillari   candid  via worldnetdaili	NOT	NOT
rt raeleeneho hate bitch know dont fuck amp realli tri talk like cool nahh bitch foh dont 	OFF	OFF
couldnt press send tweet anchor babi even raw	NOT	NOT
stupid lil bitch  realli think im trippen  outttta pocket pimpinnn	OFF	NOT
rt ohhshedope wont love cant love youunless pussi got super power	OFF	OFF
  accid lmfao hoe trynna lowkey slick	OFF	NOT
rt  behind twinkl eye see bitch 	OFF	NOT
huntermoor finger wet throb pussi slowli cum ur finger	OFF	OFF
smokin stuntin ride round town wit bitch bad dont mean noth	OFF	NOT
look rich act poor never trip bitch aint 	OFF	OFF
damnnnn u unfollow ah bitch fuck wit dey nigga dat make yall feel kind 	OFF	NOT
manbeardrgn would funnier america pussi canada	OFF	OFF
lauchiemac fag	OFF	OFF
rt jayymfcart gotta nigga bitch pleas stay dms im tire yall taken girl	OFF	NOT
  girl whos hoe twitter  lilthickgawdess	OFF	NOT
updat find lot hardcor cock suck ass pound pussi puls thrill  	OFF	OFF
ydotm realli thou im look like hulk hogan bitch	OFF	NOT
 karma bitch	OFF	NOT
rt fsohioguy wash bird shit broomdisgust creatur redstwitterfam sweep	OFF	OFF
baltimor damn ghetto 	OFF	NOT
dont k bitch	OFF	NOT
rt marthayabish that type bitch hate	OFF	NOT
bahaha karma bitch	OFF	NOT
walk parti playin nelli  air forc one walk outta bitch immedi litter yard	OFF	NOT
rt imasavagebruh bitch got act crazi hell late	OFF	NOT
sizzurp bootyacid  yopapichulo go back lego club faggot	OFF	OFF
bitch go  lol	OFF	NOT
rt  dej loaf trash pure trash	NOT	NOT
rt woridstarhlphop phone goe class teacher say turn trash song mixtap 	NOT	NOT
rt boatbuild call free bird	NOT	NOT
slimgirlprobz im hungri ionn wanna spend money  hoe problem 	OFF	NOT
 like let em bring da heat dis bitch   linkup bro	OFF	NOT
bitch 	OFF	NOT
stop spoil u fag	OFF	OFF
 hoe smoke loser   yea  go ig	OFF	NOT
smokeybahr go get sum bitch	OFF	NOT
dont lose sleep bout bitch bc come go 	OFF	NOT
wanna go ghetto club tonight	NOT	NOT
omg dr cruz remind mari ann moreno bitch swoop nowher chang dress code dark scrub sweater	OFF	OFF
rt slbgngeddi  boy im retard  time 	OFF	OFF
rt cpritchett  money cant buy love dont pay 	OFF	NOT
nicca say ballin ask em titl n deed wher cloth n key	OFF	NOT
rt tooracist type eye makeup redneck women use nascara	OFF	OFF
rt imikedunn bitch think your bad bitch pleas tell rhonda rousey	OFF	NOT
 thank 	OFF	NOT
yes yes yes that gone hear never met hoe yet tell	OFF	NOT
apolog advanc action im thee biggest bitch im studi 	OFF	NOT
rt yaboyskeet lmaoooooo rt itsmegrizz nympho stupid go hose pussi weird bitch	OFF	OFF
pussi lie pussi 	OFF	OFF
bigbird made gay coupl yes gop world bird would exist sinc creator would jail sodomi	NOT	NOT
notjohnross tri respect instead act like fuck retard	OFF	OFF
rt  keep ur bitch leash 	OFF	NOT
mrmooncricket  fuck stupid ass coward ass punk bitch faggot ass racist piec shit punk bitch aint worth time	OFF	OFF
nig darion couldnt help act like camera didnt keep composur eattin crawfish hahaha	OFF	OFF
good lord never met bitch like	OFF	OFF
rt  want valentin day big booti hoe	OFF	NOT
amp keep bitch  part fashion nigga see see  catch traffic	OFF	NOT
veronicalewi cant give hillbilli audienc theyll squander everi time	OFF	NOT
miss britt god damn bitch real nigga babi 	OFF	NOT
photo bad bitch ladykimora favorit vega socialit  dragrac dragqueen ladykimora 	OFF	NOT
legion jig 	NOT	NOT
 yu cant get money yu silli 	OFF	NOT
realskipbayless cours u would pc lemmingon say word niggerth potenti reek havoc societi	OFF	OFF
 deliaparedez  theonemissluu ramonapilar rikkilove whatev gabbi hoe	OFF	NOT
bigquinnliam  get volcano yet faggot	OFF	OFF
rt  skinni girl pussi good den mf u dont feel noth pussi   point board skinni girl	OFF	OFF
potpwincess longbongchri shes dyke	OFF	OFF
wow redskin dont want	NOT	NOT
rt  key open door key albino	NOT	NOT
rt yungbootylord everybodi think get hoe think ima playa honest im crib wonder bout mom make yellow 	OFF	NOT
million bad bitch world stucc stupid	OFF	NOT
rt hoodstarzdread main reason aint got girl caus aint never found  bitch tryna get money wit yall hoe 	OFF	OFF
 lol match earli  ic champion bitch realli would go ham	OFF	NOT
rt danosuhashtag ever look bitch like bitch	OFF	NOT
see fag  hour	OFF	OFF
bigshaadswerv alejandrobihhh havent seen hoe	OFF	NOT
whos downi like browni  brunch need mimosa	NOT	NOT
rt jayjroc thought mansion elan crazi migo wait til boosi amp yo gotti shut bitch tonight 	OFF	NOT
think read worst interview ever lee castro one  dope bitch neither one two belong media	OFF	OFF
manag retard bruh alway ask siri spell  nigga dum af doe	OFF	OFF
rt  yanke winnnn 	NOT	NOT
fan wait bitch nigga hate  old hoe date look mama  	OFF	OFF
rt louievre need ride die bitch 	OFF	NOT
rt freshcigarett cunt go  second without talk weed	OFF	OFF
omg dot im sure that give away free bitch 	OFF	NOT
grrizziy right fuck pussi	OFF	OFF
gtta fli bitch stand	OFF	NOT
 rt  niggaz get free pussi bounc beat 	OFF	OFF
rt worldstarfunni  rts amp ill grab mic amp yell fuck right pussi 	OFF	OFF
rt  bitch	OFF	NOT
young bitch amp femal 	OFF	NOT
what good prom see anoth faggot ass high school danc	OFF	OFF
hoe shit tho bout say perro got butt nake bitch dish	OFF	OFF
fuck bitch get money	OFF	OFF
rt lamborghinibow fuck hoe respect woman love 	OFF	NOT
issagold u think dream anyth two dumb bitch san diego lol	OFF	OFF
gotta boomin ass voic look bitch scream den ya da pussi	OFF	OFF
dont talk homecom actual otherwis antinf peopl reason mock parti	NOT	NOT
rt sweetiepaii rt listen band   amp 	NOT	NOT
head but bitch club lmao tri play bitch know head hurt	OFF	OFF
rt  long day work bitch wunna rest feet lol  	OFF	NOT
rt slimblanco  bitch  sooooooo corni 	OFF	NOT
mayb bitch stop talk dude omari one day	OFF	OFF
ksecus give tanke mean yanke mayb next year	NOT	NOT
 dude fuck legend bruh fuck right pussi lmao  true legendfuck right pussi	OFF	OFF
rt southpark  want buy anyth talk bottom bitch bottom bitch talk  know 	OFF	NOT
lil bitch call said needa break leav cuz bitch im doin great	OFF	NOT
uh codi call punk ass bitch said think meant say boss ass bitch ill let go ctfu 	OFF	OFF
tell lie speakin lip tri pleadin  often bitch refer awesom	OFF	NOT
empresstata aww man ball small lil affair set bitch	OFF	NOT
rt  lmaopoor pussi 	OFF	OFF
take yo bitch dinner date paint face	OFF	OFF
rt thatgapeach amp alla nigga hot boy  dont bring ice bitch 	OFF	NOT
inktob twentysix gouach mt snappi pappi bitch  good thing sabl  	OFF	NOT
naynooski kboavz one bobbi bitch hot nigga	OFF	OFF
fuck  tweet anyon go answer yall nigger dont repli  pm niggerfag niggerfag niggerfag	OFF	OFF
dougbenson hey bitch get lucasbro show theyd perfect im kid bitch part	OFF	NOT
bshiznitt cum thru bitch	OFF	NOT
garrettwink one bitch talk shit bout shit	OFF	OFF
 beauti femal still find way fuck w ratchet hoe dont get  	OFF	OFF
want one ae yous start someth tbh yous aw pussi shame	OFF	OFF
rememb  friend jelli rt mikegotho bitch couldnt tell shit bruh 	OFF	NOT
rt  im go  amp devil amp catfish hoe	OFF	NOT
rt obeyyreggi stfu hoe rt  im proud african american  proud african americanim proud white  	OFF	NOT
fuck hot head pussi gt cold heart	OFF	OFF
wait mudda cunt hypocrisi	OFF	OFF
hate ghetto bitch passion	OFF	OFF
fuck bitch say hood love	OFF	NOT
youll still e fag  ill pass heidi  	OFF	OFF
oh oreo bake chocol chip cooki surpris	NOT	NOT
harri must thincc im bitch fall bacc ah sum  boi byeeeee 	OFF	NOT
 kind fuck like said weretwic sound like littl bitchbitch fuckin stalker	OFF	OFF
rt  think bad well bitch meaner 	OFF	NOT
fatassme pussi	OFF	OFF
damnitmannn rojustdgaf twitter shit plus your femal let dumb sloppi bodi ignor bitch speak  peopl	OFF	OFF
sheryl crow bae	NOT	NOT
sprayinpray recal tell one apollo teacher hope babi came retard   assholeoftheyear lol 	OFF	OFF
themayormatt earli beard man get clam  herkfact	NOT	NOT
rt liidurk u dont like ya bitch	OFF	NOT
u know u dont get real life pussi carin bout enterin dms rt  enter dms anytim 	OFF	OFF
rt funkydineva bare walk heel dress bitch tri hard	OFF	NOT
rt tikoamg social network got bitch head like  	OFF	NOT
lil stupid ass bitch aint fuck	OFF	OFF
hurri nigga last key dont know fiberglass safe get bitch need glass key	OFF	OFF
rt dugoutlegend lou gehrig  hand fractur career play  straight gamesironhors yanke 	NOT	NOT
norahodonnel dish texa trash talk pts racist jdickerson mayb gbush apolog sin wouldnt hide	OFF	OFF
bitch happi burger king pollo tropic lunch break work act like dinner new niggaz gotta upscal	OFF	NOT
rt caymariee love bffl dont even smoke bday bitch gone b turntttt fa 	OFF	NOT
rt kingcaillou shit like hoe head fuck want social media ass relationship 	OFF	OFF
polic nicca tryn raid da trap	OFF	OFF
 aw omg show made cri  im pussi  realli	OFF	NOT
coleyce lilaerii girl know spit g shit amp go lbvsbitch plz	OFF	NOT
rt grandadjfreeman im tire fat hoe call thick bitch yo fat ass cant even bend touch toe withou 	OFF	OFF
supasaiyansarah haha bitch trippin brokeass	OFF	OFF
rt badbishrollaan  im hungri wont give bitch time day im tri take care busi 	OFF	NOT
wut bitch	OFF	NOT
rt idntwearcondom get  retweet that proof get  bitch let settl	OFF	NOT
fuck pussi couldnt even beat dick  angri youtub comment	OFF	OFF
atblackfac mrmooncricket uncleunco bobbybotsod fuckthemallcop  fuck u bitch	OFF	OFF
rt llcoolj bitch dont fuck know	OFF	NOT
ultragoogl what puto isnt bitch spanish	OFF	OFF
rt jayreidoffici check joy pain nicca imyungjay  blackkingz 	OFF	NOT
rt causewereguy bros hoe bros girlfriend find good girl need put everyth 	OFF	OFF
think boom boom boom waaay ho video make laugh least day	NOT	NOT
girl like  pic mine instagram morn work saw thought bitch need life	OFF	NOT
never chang ill never wife ah bitch nowwww bangbro	OFF	OFF
im way leagu hoe pleas excus ego	OFF	NOT
steak categori ran bitch like busto	OFF	OFF
ovotiluoverdos build pussi lmao	OFF	OFF
johnni rebel  could nigger day 	OFF	OFF
rt topblokebil justin beiber fucken gay cunt ariinv 	OFF	OFF
badab continu turn pussi lol	OFF	OFF
rt nobeeetch yall use take pictur real camera upload hoe comput wow	OFF	NOT
rebellblum hat us trash tho lol	NOT	NOT
