text	labels	predictions
nyrkelsmad  ware da color elit meet eat	OFF	NOT
aint nuttin white trash parti	OFF	NOT
denzi boutta takin erri bodi bitch	OFF	NOT
rt itsfoodporn oreo ice cream cake 	NOT	NOT
bitch wanna nigga get couch go fine 	OFF	NOT
girl hoe	NOT	NOT
infidelali  muzzi fucker hope set go full bacon pork rind	OFF	OFF
girlthatsvont yall bitch wit edg talk 	OFF	OFF
 actual good lol dont hoe mean that road glori shit gtgo northern illinoi undef amp heisman	OFF	NOT
rt mirrorweirdnew ador tini monkey shower sink cutest viral video youll see weekend  	NOT	NOT
coleyce bad bitch ayee 	OFF	OFF
rt richbitxh highwaist jean made everyon bitch look horribl	OFF	OFF
rt roachnigga yall nigga think hang around crib noth bitch get bread 	OFF	NOT
rt barryclerjust yall want foreign bitch sooo bad cant even pull local hoe	OFF	NOT
hoe crazi yo	OFF	NOT
rt boobah hoe fuck us nigga got news monogam nigga yo bitch fuck anonym nigga	OFF	NOT
kuhnatekuhnit studlydubl talkin bout bitch gettin butthurt right	OFF	OFF
rt femai swear  forev bitch 	OFF	OFF
im camera shi dont talk phone love rainif youn kno life wouldnt understand	NOT	NOT
niggah actin like pimp pay bitch 	OFF	OFF
rt rtamerica us armi remov  offici refer black peopl public outrag  	OFF	NOT
callneeshcakey  das new bae  bitch bad naw lmao	OFF	OFF
rt xixmcmlxxxv make pussi sing  aint rt mikegotho dumb ass thought microphon 	OFF	NOT
hoe social media hoe real life	OFF	NOT
rt iamjazz shaaaaayi wish born differ generat  caus yall make pussi bone hurt  sicken ass children 	OFF	NOT
renaissancejay dont send box droid da mile nigga got da dro droid na drum fo pussi boy yeer	OFF	NOT
rt rmpharri told home girl bitch bet chang mee	OFF	NOT
bamndeymouth grindin cuzz that shit dont stop wat good witcha thou bitch mia	OFF	NOT
amosporr congrat amo 	NOT	NOT
hoe look clean foot	OFF	NOT
sis said go sleep said bitch b day aint sleep 	OFF	NOT
amp hes gone alway hoe	OFF	NOT
rt ariesspear young cat draft nba today walk lotto ticket wait till nigga find pussi 	OFF	NOT
american degener enough honor war dead barbecu anyon grill memori day trash	NOT	OFF
rt nikowavi fact  pussi good  nigga none still 	OFF	NOT
rt joscarjr paullemat happi birthday take spin yellow coup shutemdown 	NOT	NOT
know trash grown ass woman gotta nigga fuck around  year old  year old landfil trash	OFF	OFF
iggi trend twitter trash today	NOT	NOT
yehitsvon  must   sike naw alway beef 	OFF	OFF
sbsylvest kiefferjason nigga stfu u funni laugh yo retard ass stfu	OFF	OFF
even know bitch	OFF	OFF
rt nflmeme buckwheat porki 	NOT	NOT
real basketbal player get disappoint throw someth trash miss	NOT	NOT
bill cosbi steal pussi	OFF	NOT
mikelucka oh pain med made brain fuzzi though banjo kazooi sec	NOT	NOT
jazqui that im partial glad say hi ho kermit frog slip kermit voic well	NOT	NOT
oomf hoe know hoe know hoe wont claim hoe say aint hoe butw know hoe hoe	OFF	NOT
brenddan said bullshit damn nigger	OFF	OFF
got damn laker trash	NOT	NOT
rt blaff  im  johnnyrohrcock	OFF	NOT
jawshoeeahhh keepitplur bitch beat lose twice lol  hater	OFF	OFF
new local mall wasnt ghetto	OFF	NOT
grandehead got hoe bootleg haha wanna borrow	OFF	OFF
rt prayingforhead tyga use good got swag fag shit	OFF	OFF
alee bitch u love	OFF	OFF
  pcktsizeca dont hoe haha	OFF	NOT
kid look like retard tri hide phone obvious	OFF	OFF
rt   im ugli dont worri 	OFF	NOT
one hoe  make known	OFF	OFF
sizzurp bootyacid  yopapichulo bet faggot	OFF	OFF
ssickstori lester tri eat bird	NOT	NOT
aint bitch ass boom bap click clack move back	OFF	NOT
 ayi might well get fat hoe dont even like ab nomo like balla belli	OFF	OFF
rt charcharkuhlman first day spring break ate half pan browni amp watch  episod park rec victoriakuhlman amp 	NOT	NOT
tbt nigguh 	OFF	NOT
 u said  hoe 	OFF	NOT
might freak bitch dont need 	OFF	OFF
lot bitch eat ass nowaday 	OFF	OFF
bitch truli aint shit 	OFF	OFF
life come fast rt indxgo guy today found im side hoe 	OFF	NOT
deal bitch ass annoy	OFF	OFF
thedarius boy clean bitch	OFF	NOT
rt  serious florida vote charli christ vote tax ebola	NOT	NOT
rt markiiejay got nigga amp got bitch	OFF	NOT
rt carterazoo nephew adam rose bet aint got hoe though	OFF	OFF
lmao drake bullshit serena william wallah look like tranni	OFF	OFF
music stop play hear fuck bitch ill spit 	OFF	OFF
rt  dont give fuck ex bitch isnt problem anymor	OFF	OFF
slim niggah know love em thick	OFF	NOT
rt adddisonn smoke good weed bad bitch	OFF	NOT
yanke nice bounc back michael kay gotta keep go	NOT	NOT
b quick dub bitch sad 	OFF	NOT
nigga u cunt yo fendi clutch	OFF	OFF
 moneydriven stfu hoe fuck answer smack shit outta faggot aunt	OFF	OFF
rt kivnaaa vivalakash  god think  lol peopl school show nigguh video  im like  famous oss 	OFF	NOT
 westsidefle kekepalm damn got wifey  back nigga  dont share hoe	OFF	NOT
turn bitch 	OFF	OFF
rt phocus bossshlton bitch 	OFF	NOT
found boom boom boom waaaaay ho girl fuck someon sing  year progress 	OFF	NOT
know yall bitch tell yall self wwhd would hustlelinaa  cuz yall ass stay follow 	OFF	NOT
went ya bitch hous virgin anymor	OFF	OFF
rt lilduv maaan hoe photoshop rt  lilduv damn suppos nigga get catfish	OFF	NOT
rt buttholeteeth pussi look like die six month ago	OFF	OFF
yall know skip bayless slit wrist romo lol	NOT	NOT
strap aint share bitch mine mine 	OFF	OFF
done dun kind shit yall nicca fill shit	OFF	NOT
chop rt  bird call flap hand	NOT	NOT
im go dress trash halloween oh wait look like everyday	NOT	NOT
ampamp hoe 	OFF	NOT
xpriceless bitch u forcin talkin famili shit watch	OFF	OFF
wake stoopid dyke randypawlik	OFF	OFF
photo rest peac bad boy  bad advis made let old asian dude glue sole 	NOT	NOT
da fucc gone believ sell brick wit dirti ass kick nicca u aint sellin shit	OFF	OFF
rt doprettyshiz bitch blew high  high drug 	OFF	NOT
heavensway  last time ill ever call faggot	OFF	OFF
rt netanyahu pm last night incit translat murder father travel whis famili celebr first 	OFF	NOT
rt versacetweetgod gave bitch much confid  	OFF	NOT
justwordsx dont favorit faggot	OFF	OFF
bold peopl confront seem make bitch alot	OFF	NOT
 funni ofay mammi woulda happi made friend wit da folk dat brought us da new world chain	OFF	NOT
hate kiss mouth hoetel differ	OFF	OFF
themayormatt pitch chip slide ur dick tight clam  love mywif	OFF	OFF
sean kingston look like facebook dyke 	OFF	NOT
bigdaddysnip far asf nigguh	OFF	NOT
likewhatyousea booti wop side hell	OFF	NOT
portlandia putabirdonit rt  xbox one would much cooler put bird	NOT	NOT
got vector job bitch	OFF	OFF
ladylovesh marri still wanna bang hersh wont sex mewhat bitch troubadour probabl	OFF	OFF
rt xpoppinwhe lol thirst real dis bitch 	OFF	NOT
got everi niggah lookin like dam	OFF	NOT
wassupbeama lol bitch nigga ima get gay homi	OFF	NOT
allergi eye red chink eye look like im stone	OFF	NOT
black bitch boister belliger buffalo 	OFF	NOT
rt qwestsidefoolay  woah bitch say   	OFF	NOT
true life episod come later tonight  central time true life wanna tranni	OFF	NOT
ovoshubham fuck bitch bout u get bitch ass nigga stupid ass	OFF	OFF
rt  vonteeeee typic coon activ	OFF	OFF
im jog higher stupid bitch ass hoe mf  	OFF	OFF
flyyimpact yo follow back nigguh	OFF	NOT
scott told work today want come get drunk seduc  ill kill bitch 	OFF	NOT
 pussi  imma assum babi liketh day	OFF	NOT
shadi bitch talk guy w girlfriend that disrespect anoth girl	OFF	OFF
wow fucken bradley suck ass coach said niggah play barcelona hahahahahaha	OFF	OFF
make sweet love hand caus cant buy hoe tonight	OFF	NOT
rt chlldhoodruin great daquan got pregnant im gonna nigger grandbabi 	OFF	OFF
rt  bitch soccer player take shirt 	OFF	NOT
look coon ass nigga stand damn toilet look around  	OFF	OFF
 wonder run nose first yo real nigger amp white devil massah man point anoth convinc u less	OFF	OFF
 realli miss know drink talk problem like basic bitch	OFF	NOT
ocean drive  gave pill think justmoodi met pussi ocean 	OFF	NOT
np centuri fob	NOT	NOT
bombfantasyyi pearl jam yellow ledbettergt	NOT	NOT
one man trash anoth man wife	NOT	NOT
peopl rt pictur far wide reason make teabagg poor spell realli angri 	NOT	NOT
rt treysongzson im yo hood ill prolli fuck yo hoe	OFF	OFF
rt gatordwqam everytim see nelson agholor make play want puke kid shouldv gator thank charli cheeseburg	NOT	NOT
bitch rais anxieti sit next	OFF	OFF
karma theeeee biggest bitch	OFF	NOT
bitch filthi 	OFF	OFF
bellaangeletti ur fag	OFF	NOT
escort mission game univers trash	NOT	NOT
sroach happi birthday nicca coon shit respons way	OFF	OFF
rt  ericmarin whiteponyjr  faggot lil attent whore fuck mute	OFF	OFF
rt shantybear bitch entertain caus alway seem busi	OFF	NOT
love charli 	NOT	NOT
drippin much damn sauc got bitch readi lick 	OFF	OFF
ronni kamm pussi	OFF	NOT
rt nobeynob markiemarc  trash	NOT	NOT
love bad bitch that fuckin problem	OFF	OFF
rt  farewel tour fault everyon three player underachiev yanke year	NOT	NOT
rt yograndmabitch crush bitch man tri show could treat better never luck	OFF	OFF
 nigguh suck	OFF	NOT
jasonjwild  incomplet slant look like better option shame  youth amp lack trust go	NOT	NOT
rt lrihendri pregnant se  classic respons   call   bonus tweet  	NOT	NOT
rt lexieel timelin right nowraven    commerci tweet     bitch talkin 	OFF	NOT
rt truenovacan think sliden bitch slippen amp know truth knoww knoww knoww know knoww knoww 	OFF	OFF
let go block phase caus hoe steadi come 	OFF	NOT
thatkidvicent thank littl bitch 	OFF	OFF
chill zahra im get cracker rn	OFF	NOT
u wonder im answer im wonder money nigga act like bitch day	OFF	NOT
yes im hairi white man redneck tendenc absolut love aretha franklin fuck hater	OFF	OFF
rt myniggakushi  myniggakushi sleepov come  bitch silk 	OFF	NOT
listen latina women talk babi daddi andbeat bitch ass make sub  worth ita littl bit	OFF	NOT
sbsylvest cblaze bitch meet plano senior high school vine got shit chest go take yall	OFF	NOT
 hahahaha aw nut tri captur cunt	OFF	OFF
 fosho niggah il real busi late	OFF	NOT
rt causewereguy sex  date dont mean hoe wait  day wont make wife cute pic dont mean happi amp 	OFF	NOT
put pan browni	NOT	NOT
cbsthismorn charlieros norahodonnel tx trash show disgrac engag w mittromney disrespect presid	NOT	NOT
rt funnypicsdepot bitch like im virgin 	OFF	OFF
tri take othot drug bitch im 	OFF	NOT
rt hoesscreamtessa lot bankrol  amp hoe 	OFF	NOT
welp  babi cookedba what dinnerm bitch text 	OFF	NOT
rt versecharact nigga want bitch like trey  	OFF	NOT
love dont wanna nobodi els blah blah bullshit fa bird	OFF	NOT
crust  graham cracker keep pie	NOT	NOT
gduenez ur one talk bitch	OFF	NOT
 reason hit know pussi wont get cool point	OFF	NOT
motherjon  bird grandkid may never see thank climat chang   climat	NOT	OFF
rt kylekallgren know superhero stori best insult superhero dumb mook come dogood whiteknight	NOT	OFF
tell  lookin ass nigga  ima crazi bitch that need know	OFF	NOT
rt jkwest dnt trust bitch think shud b bad girl club	OFF	OFF
rt blackelvi favorit episod friend one black mysteri vanish unemploy white peopl find afford 	NOT	NOT
true rt mrquenchyagirl charli clip coldest battl rapper debat	NOT	NOT
one your annoy two damn hoe three aint thing must go	OFF	OFF
rt witnesslaron ape get mcm cant unbeliev 	NOT	NOT
chees bitch chupacabra look fuxk 	OFF	OFF
 next time see bitch im beat ass job  lol	OFF	OFF
bitch better happi  tip	OFF	OFF
rt fleebiscuit girl anchor tat hoe	OFF	NOT
  lol els common nigga hate sleep  summer bird	OFF	NOT
rt spam bitch ass nigga rt hellondascal migo 	OFF	NOT
heartll kaleighmcnasti bitch look like gon blow away fr	OFF	OFF
kimberlyyay leslieeeixta think job toodl bitch 	OFF	NOT
got chunki marmalad today great custom servic past  yrs postietweet servicematt 	NOT	NOT
rt alfanolisa  mariachappellen gee isnt cracker racist term tire race baiter	OFF	NOT
rt cuhcuhcuh bitch smoke cig disgust cuh	OFF	OFF
 bitch im bitch im  thug luuuuuuv	OFF	OFF
rt tomtomorrow report aerosol virus turn ape intellig seem like kind day	NOT	NOT
rt hlghkey ya girl text back slow gotta hit els text watch bitch get defens 	OFF	NOT
aint suck dick sit pucker lip that collagen muhfuckin bitch	OFF	OFF
rt  nigga like one pic amp u bitch  show love bitch kill yoself	OFF	NOT
ever beat wayn chief bitch banger chiefkeef freewop freeslick	OFF	OFF
hate dumb bitch	OFF	OFF
rt killahka bitch  	OFF	NOT
feel like slap bitch	OFF	OFF
like nike bitch	OFF	OFF
smoke sum bitch	OFF	OFF
rate id cheer aw new york yanke st loui cardin	NOT	NOT
 min bitch drop	OFF	OFF
fat ass hoe hold machin	OFF	OFF
id go jamaica n attend wild dancehal event jus five star frog splash bitch tree n get wshh	OFF	NOT
aasthaxoxo oh shut mouth talkin morn fag	OFF	OFF
two road diverg yellow wood chose one  robert frost giant	NOT	NOT
rt brooksbeau follow spree cunt retweet followmebeau	OFF	OFF
linniekravitz wesgodlaflar bitch wtf 	OFF	OFF
 ugli white bitch	OFF	NOT
 geta life faggot	OFF	OFF
cuteasstab niggah shit serious aint one laugh	OFF	NOT
rt lissetelisa juan like black girl monday  wednesday spanish girl thursday amp friday amp white bitch weekend tbb	OFF	NOT
da club makin movi feel like tyler perri fuckin nigga bitchesdey like didi gt marri	OFF	OFF
ive got best friend function retard could	OFF	OFF
like said fuck lebron fan base bandwagon dick rider amp loyal ass eater dont like bitch nigga amp love one	OFF	OFF
yanke firecashman dont want arod back	NOT	OFF
kevinkevmooney lellerb bet make sure bitch involv that  thing floyd pac agre screw em	OFF	OFF
rt  obama allow million illeg alien drug cartel terrorist enter open bordersliber 	OFF	OFF
 ur pal stlabubadu  apost kufargti cld cut ur neck wsword islam ampwatch u squeal like bitch like daniel pearl	OFF	NOT
rt anunnakigod bitch ocean 	OFF	NOT
 string bitch	OFF	OFF
rt louievre nigga santa come hood nigga gonna rob sleigh ho ho hoe	OFF	NOT
bnightengal feinsandnydn time ranger scout head watch yanke prospect ranger	NOT	NOT
rt nekkohbk bitch u boutta drown tryna hoe   twitpic bra selfi show  	OFF	OFF
good morn charli  jrstws qnoftherealm savvyhuman scdorn  plainunamerican erickinnc puterprsn tomwfri	NOT	NOT
push bitch car like im gucci mane bitch 	OFF	OFF
aint nobodi wear new westbrook jordan mexican amp trailer park trash white girl	OFF	NOT
rt noreggieallow think hoe  would tell alll shit  im lazi tryna switch shit  	OFF	NOT
nyrkelsmad im bulli halfretard talk flotat devic  assur im bulli	OFF	NOT
rt charlesbwaffl bitch internet relationship tho like yous lone hoe	OFF	OFF
find cheap  craigslist need new tranni 	NOT	NOT
alex smith saw career leav fumbl reel bitch back everyth	OFF	OFF
 maaaaannnn hope rt  vonshayeb get rid john legend look charli batch	NOT	NOT
appar amp eric fucc amp fucc everi nigga  great yall bitch whoppin amp talkin behind blocc twitter	OFF	NOT
wiz khalifa influenti rapper era seem forget trend nigguh start	OFF	NOT
yall bitch girlfriend halloween sinc yall sidechicc year 	OFF	NOT
rt  fuck bitch   feel	OFF	OFF
shut yo new year new lookin ass bitch 	OFF	OFF
nigga stay insid hoe shit	OFF	NOT
rt leezythewarrior cant let messi hoe mess yo busi	OFF	NOT
rt kingtunchi bitch diss gone still eat dick see check	OFF	NOT
rt almightyalijah told yo bitch get knee dont want 	OFF	NOT
hillari   candid  via worldnetdaili	NOT	NOT
rt raeleeneho hate bitch know dont fuck amp realli tri talk like cool nahh bitch foh dont 	OFF	OFF
couldnt press send tweet anchor babi even raw	NOT	NOT
stupid lil bitch  realli think im trippen  outttta pocket pimpinnn	OFF	OFF
rt ohhshedope wont love cant love youunless pussi got super power	OFF	OFF
  accid lmfao hoe trynna lowkey slick	OFF	OFF
rt  behind twinkl eye see bitch 	OFF	NOT
huntermoor finger wet throb pussi slowli cum ur finger	OFF	NOT
smokin stuntin ride round town wit bitch bad dont mean noth	OFF	OFF
look rich act poor never trip bitch aint 	OFF	NOT
damnnnn u unfollow ah bitch fuck wit dey nigga dat make yall feel kind 	OFF	OFF
manbeardrgn would funnier america pussi canada	OFF	OFF
lauchiemac fag	OFF	OFF
rt jayymfcart gotta nigga bitch pleas stay dms im tire yall taken girl	OFF	NOT
  girl whos hoe twitter  lilthickgawdess	OFF	NOT
updat find lot hardcor cock suck ass pound pussi puls thrill  	OFF	OFF
ydotm realli thou im look like hulk hogan bitch	OFF	OFF
 karma bitch	OFF	NOT
rt fsohioguy wash bird shit broomdisgust creatur redstwitterfam sweep	OFF	NOT
baltimor damn ghetto 	OFF	NOT
dont k bitch	OFF	OFF
rt marthayabish that type bitch hate	OFF	OFF
bahaha karma bitch	OFF	NOT
walk parti playin nelli  air forc one walk outta bitch immedi litter yard	OFF	NOT
rt imasavagebruh bitch got act crazi hell late	OFF	NOT
sizzurp bootyacid  yopapichulo go back lego club faggot	OFF	OFF
bitch go  lol	OFF	OFF
rt  dej loaf trash pure trash	NOT	NOT
rt woridstarhlphop phone goe class teacher say turn trash song mixtap 	NOT	NOT
rt boatbuild call free bird	NOT	NOT
slimgirlprobz im hungri ionn wanna spend money  hoe problem 	OFF	NOT
 like let em bring da heat dis bitch   linkup bro	OFF	OFF
bitch 	OFF	OFF
stop spoil u fag	OFF	OFF
 hoe smoke loser   yea  go ig	OFF	OFF
smokeybahr go get sum bitch	OFF	OFF
dont lose sleep bout bitch bc come go 	OFF	NOT
wanna go ghetto club tonight	NOT	NOT
omg dr cruz remind mari ann moreno bitch swoop nowher chang dress code dark scrub sweater	OFF	NOT
rt slbgngeddi  boy im retard  time 	OFF	OFF
rt cpritchett  money cant buy love dont pay 	OFF	NOT
nicca say ballin ask em titl n deed wher cloth n key	OFF	NOT
rt tooracist type eye makeup redneck women use nascara	OFF	OFF
rt imikedunn bitch think your bad bitch pleas tell rhonda rousey	OFF	OFF
 thank 	OFF	NOT
yes yes yes that gone hear never met hoe yet tell	OFF	NOT
apolog advanc action im thee biggest bitch im studi 	OFF	NOT
rt yaboyskeet lmaoooooo rt itsmegrizz nympho stupid go hose pussi weird bitch	OFF	OFF
pussi lie pussi 	OFF	OFF
bigbird made gay coupl yes gop world bird would exist sinc creator would jail sodomi	NOT	NOT
notjohnross tri respect instead act like fuck retard	OFF	OFF
rt  keep ur bitch leash 	OFF	NOT
mrmooncricket  fuck stupid ass coward ass punk bitch faggot ass racist piec shit punk bitch aint worth time	OFF	OFF
nig darion couldnt help act like camera didnt keep composur eattin crawfish hahaha	OFF	NOT
good lord never met bitch like	OFF	OFF
rt  want valentin day big booti hoe	OFF	NOT
amp keep bitch  part fashion nigga see see  catch traffic	OFF	NOT
veronicalewi cant give hillbilli audienc theyll squander everi time	OFF	OFF
miss britt god damn bitch real nigga babi 	OFF	NOT
photo bad bitch ladykimora favorit vega socialit  dragrac dragqueen ladykimora 	OFF	OFF
legion jig 	NOT	OFF
 yu cant get money yu silli 	OFF	NOT
realskipbayless cours u would pc lemmingon say word niggerth potenti reek havoc societi	OFF	OFF
 deliaparedez  theonemissluu ramonapilar rikkilove whatev gabbi hoe	OFF	NOT
bigquinnliam  get volcano yet faggot	OFF	OFF
rt  skinni girl pussi good den mf u dont feel noth pussi   point board skinni girl	OFF	NOT
potpwincess longbongchri shes dyke	OFF	NOT
wow redskin dont want	NOT	OFF
rt  key open door key albino	NOT	NOT
rt yungbootylord everybodi think get hoe think ima playa honest im crib wonder bout mom make yellow 	OFF	OFF
million bad bitch world stucc stupid	OFF	OFF
rt hoodstarzdread main reason aint got girl caus aint never found  bitch tryna get money wit yall hoe 	OFF	OFF
 lol match earli  ic champion bitch realli would go ham	OFF	OFF
rt danosuhashtag ever look bitch like bitch	OFF	OFF
see fag  hour	OFF	OFF
bigshaadswerv alejandrobihhh havent seen hoe	OFF	OFF
whos downi like browni  brunch need mimosa	NOT	NOT
rt jayjroc thought mansion elan crazi migo wait til boosi amp yo gotti shut bitch tonight 	OFF	NOT
think read worst interview ever lee castro one  dope bitch neither one two belong media	OFF	OFF
manag retard bruh alway ask siri spell  nigga dum af doe	OFF	OFF
rt  yanke winnnn 	NOT	NOT
fan wait bitch nigga hate  old hoe date look mama  	OFF	NOT
rt louievre need ride die bitch 	OFF	OFF
rt freshcigarett cunt go  second without talk weed	OFF	OFF
omg dot im sure that give away free bitch 	OFF	NOT
grrizziy right fuck pussi	OFF	OFF
gtta fli bitch stand	OFF	OFF
 rt  niggaz get free pussi bounc beat 	OFF	NOT
rt worldstarfunni  rts amp ill grab mic amp yell fuck right pussi 	OFF	NOT
rt  bitch	OFF	OFF
young bitch amp femal 	OFF	OFF
what good prom see anoth faggot ass high school danc	OFF	OFF
hoe shit tho bout say perro got butt nake bitch dish	OFF	OFF
fuck bitch get money	OFF	OFF
rt lamborghinibow fuck hoe respect woman love 	OFF	OFF
issagold u think dream anyth two dumb bitch san diego lol	OFF	OFF
gotta boomin ass voic look bitch scream den ya da pussi	OFF	NOT
dont talk homecom actual otherwis antinf peopl reason mock parti	NOT	NOT
rt sweetiepaii rt listen band   amp 	NOT	NOT
head but bitch club lmao tri play bitch know head hurt	OFF	OFF
rt  long day work bitch wunna rest feet lol  	OFF	OFF
rt slimblanco  bitch  sooooooo corni 	OFF	OFF
mayb bitch stop talk dude omari one day	OFF	NOT
ksecus give tanke mean yanke mayb next year	NOT	NOT
 dude fuck legend bruh fuck right pussi lmao  true legendfuck right pussi	OFF	OFF
rt southpark  want buy anyth talk bottom bitch bottom bitch talk  know 	OFF	OFF
lil bitch call said needa break leav cuz bitch im doin great	OFF	NOT
uh codi call punk ass bitch said think meant say boss ass bitch ill let go ctfu 	OFF	NOT
tell lie speakin lip tri pleadin  often bitch refer awesom	OFF	NOT
empresstata aww man ball small lil affair set bitch	OFF	NOT
rt  lmaopoor pussi 	OFF	NOT
take yo bitch dinner date paint face	OFF	NOT
rt thatgapeach amp alla nigga hot boy  dont bring ice bitch 	OFF	NOT
inktob twentysix gouach mt snappi pappi bitch  good thing sabl  	OFF	NOT
naynooski kboavz one bobbi bitch hot nigga	OFF	NOT
fuck  tweet anyon go answer yall nigger dont repli  pm niggerfag niggerfag niggerfag	OFF	OFF
dougbenson hey bitch get lucasbro show theyd perfect im kid bitch part	OFF	OFF
bshiznitt cum thru bitch	OFF	NOT
garrettwink one bitch talk shit bout shit	OFF	OFF
 beauti femal still find way fuck w ratchet hoe dont get  	OFF	OFF
want one ae yous start someth tbh yous aw pussi shame	OFF	NOT
rememb  friend jelli rt mikegotho bitch couldnt tell shit bruh 	OFF	OFF
rt  im go  amp devil amp catfish hoe	OFF	OFF
rt obeyyreggi stfu hoe rt  im proud african american  proud african americanim proud white  	OFF	NOT
fuck hot head pussi gt cold heart	OFF	OFF
wait mudda cunt hypocrisi	OFF	OFF
hate ghetto bitch passion	OFF	OFF
fuck bitch say hood love	OFF	OFF
youll still e fag  ill pass heidi  	OFF	NOT
oh oreo bake chocol chip cooki surpris	NOT	NOT
harri must thincc im bitch fall bacc ah sum  boi byeeeee 	OFF	NOT
 kind fuck like said weretwic sound like littl bitchbitch fuckin stalker	OFF	OFF
rt  think bad well bitch meaner 	OFF	OFF
fatassme pussi	OFF	OFF
damnitmannn rojustdgaf twitter shit plus your femal let dumb sloppi bodi ignor bitch speak  peopl	OFF	OFF
sheryl crow bae	NOT	NOT
sprayinpray recal tell one apollo teacher hope babi came retard   assholeoftheyear lol 	OFF	OFF
themayormatt earli beard man get clam  herkfact	NOT	OFF
rt liidurk u dont like ya bitch	OFF	OFF
u know u dont get real life pussi carin bout enterin dms rt  enter dms anytim 	OFF	NOT
rt funkydineva bare walk heel dress bitch tri hard	OFF	NOT
rt tikoamg social network got bitch head like  	OFF	NOT
lil stupid ass bitch aint fuck	OFF	OFF
hurri nigga last key dont know fiberglass safe get bitch need glass key	OFF	NOT
rt dugoutlegend lou gehrig  hand fractur career play  straight gamesironhors yanke 	NOT	NOT
norahodonnel dish texa trash talk pts racist jdickerson mayb gbush apolog sin wouldnt hide	OFF	NOT
bitch happi burger king pollo tropic lunch break work act like dinner new niggaz gotta upscal	OFF	NOT
rt caymariee love bffl dont even smoke bday bitch gone b turntttt fa 	OFF	NOT
rt kingcaillou shit like hoe head fuck want social media ass relationship 	OFF	OFF
polic nicca tryn raid da trap	OFF	NOT
 aw omg show made cri  im pussi  realli	OFF	NOT
coleyce lilaerii girl know spit g shit amp go lbvsbitch plz	OFF	OFF
rt grandadjfreeman im tire fat hoe call thick bitch yo fat ass cant even bend touch toe withou 	OFF	OFF
supasaiyansarah haha bitch trippin brokeass	OFF	OFF
rt badbishrollaan  im hungri wont give bitch time day im tri take care busi 	OFF	NOT
wut bitch	OFF	OFF
rt idntwearcondom get  retweet that proof get  bitch let settl	OFF	NOT
fuck pussi couldnt even beat dick  angri youtub comment	OFF	OFF
atblackfac mrmooncricket uncleunco bobbybotsod fuckthemallcop  fuck u bitch	OFF	OFF
rt llcoolj bitch dont fuck know	OFF	OFF
ultragoogl what puto isnt bitch spanish	OFF	NOT
rt jayreidoffici check joy pain nicca imyungjay  blackkingz 	OFF	NOT
rt causewereguy bros hoe bros girlfriend find good girl need put everyth 	OFF	NOT
think boom boom boom waaay ho video make laugh least day	NOT	NOT
girl like  pic mine instagram morn work saw thought bitch need life	OFF	NOT
never chang ill never wife ah bitch nowwww bangbro	OFF	OFF
im way leagu hoe pleas excus ego	OFF	NOT
steak categori ran bitch like busto	OFF	OFF
ovotiluoverdos build pussi lmao	OFF	OFF
johnni rebel  could nigger day 	OFF	OFF
rt topblokebil justin beiber fucken gay cunt ariinv 	OFF	OFF
badab continu turn pussi lol	OFF	NOT
rt nobeeetch yall use take pictur real camera upload hoe comput wow	OFF	NOT
rebellblum hat us trash tho lol	NOT	NOT
